Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Dylan,10,J. Winston QB - TB ,11.00,C. Carson RB - SEA ,6.00,M. Sanders RB - PHI ,21.60,D. Parker WR - MIA ,17.10,D. Moore WR - CAR ,0.10,D. Goedert TE - PHI ,15.10,T. Hill WR - KC ,7.20,J. Elliott K - PHI ,5.00,Vikings DEF ,9.00,A. Peterson RB - WAS ,11.50,J. Gordon WR - SEA ,0.00,D. Johnson RB - ARI ,0.70,K. Drake RB - ARI ,30.40,C. Samuel WR - CAR ,2.10,J. Washington WR - PIT ,4.10,92.10,N/A,N/A
Sawyer,1,P. Mahomes QB - KC ,25.44,M. Ingram RB - BAL ,15.10,C. McCaffrey RB - CAR ,17.30,A. Brown WR - TEN ,14.30,T. McLaurin WR - WAS ,8.60,M. Andrews TE - BAL ,21.30,D. Washington RB - LV ,16.60,M. Gay K - TB ,10.00,Saints DEF ,6.00,S. Watkins WR - KC ,2.80,D. Williams RB - KC ,15.20,T. Boyd WR - CIN ,24.80,C. Kirk WR - ARI ,0.90,D. Chark WR - JAX ,1.80,G. Minshew QB - JAX ,14.84,134.64,Jake,86.26
Leo,7,L. Jackson QB - BAL ,29.82,L. Bell RB - NYJ ,9.30,S. Michel RB - NE ,10.10,R. Woods WR - LA ,12.30,D. Adams WR - GB ,9.60,M. Gesicki TE - MIA ,20.20,R. Jones RB - TB ,16.90,W. Lutz K - NO ,8.00,Packers DEF ,11.00,A. Green WR - CIN ,0.00,A. Jeffery WR - PHI ,0.00,M. Sanu WR - NE ,2.40,O. Beckham WR - CLE ,10.40,K. Hunt RB - CLE ,4.10,B. Scarbrough RB - DET ,3.40,127.22,Jack,76.66
Ari,5,D. Prescott QB - DAL ,11.30,R. Mostert RB - SF ,11.30,S. Barkley RB - NYG ,39.90,A. Robinson WR - CHI ,5.30,K. Golladay WR - DET ,12.60,T. Higbee TE - LA ,10.40,D. Montgomery RB - CHI ,5.90,J. Myers K - SEA ,9.00,49ers DEF ,7.00,J. Garoppolo QB - SF ,10.42,J. Crowder WR - NYJ ,6.00,C. Kupp WR - LA ,9.10,K. Johnson RB - DET ,4.30,J. Jacobs RB - LV ,0.00,D. Slayton WR - NYG ,0.00,112.70,Henry,87.66
Elijah,9,J. Allen QB - BUF ,20.62,L. Fournette RB - JAX ,10.50,D. Singletary RB - BUF ,4.80,D. Hopkins WR - HOU ,2.30,A. Cooper WR - DAL ,2.40,T. Kelce TE - KC ,13.40,J. White RB - NE ,2.90,M. Prater K - DET ,5.00,Bears DEF ,1.00,L. Fitzgerald WR - ARI ,10.80,V. McDonald TE - PIT ,0.90,J. Howard RB - PHI ,0.00,D. Njoku TE - CLE ,0.00,K. Ballage RB - MIA ,0.00,K. Fairbairn K - HOU ,11.00,62.92,N/A,N/A
Jack,8,D. Brees QB - NO ,22.86,E. Elliott RB - DAL ,8.40,J. Conner RB - PIT ,3.20,J. Jones WR - ATL ,16.60,K. Allen WR - LAC ,6.60,D. Waller TE - LV ,3.70,M. Boone RB - MIN ,3.30,J. Tucker K - BAL ,7.00,Steelers DEF ,5.00,J. Brown WR - BUF ,11.60,B. Perriman WR - TB ,10.20,D. Cook RB - MIN ,0.00,C. Godwin WR - TB ,0.00,A. Mattison RB - MIN ,0.00,D. Samuel WR - SF ,11.90,76.66,Leo,127.22
Ben,4,D. Watson QB - HOU ,9.06,L. McCoy RB - KC ,0.00,A. Jones RB - GB ,26.00,T. Lockett WR - SEA ,1.20,S. Diggs WR - MIN ,11.70,G. Kittle TE - SF ,13.90,A. Thielen WR - MIN ,0.20,M. Crosby K - GB ,9.00,Panthers DEF ,-1.00,L. Murray RB - NO ,2.50,H. Henry TE - LAC ,4.50,J. Williams RB - GB ,5.20,M. Breida RB - SF ,0.00,K. Murray QB - ARI ,12.72,D. Carlson K - LV ,6.00,70.06,Will,90.14
Jake,2,R. Wilson QB - SEA ,10.96,T. Gurley RB - LA ,16.80,D. Henry RB - TEN ,0.00,M. Thomas WR - NO ,19.60,C. Sutton WR - DEN ,4.10,K. Rudolph TE - MIN ,0.70,M. Mack RB - IND ,16.10,Y. Koo K - ATL ,6.00,Jets DEF ,12.00,J. Witten TE - DAL ,1.40,J. Landry WR - CLE ,7.40,P. Lindsay RB - DEN ,17.80,M. Gallup WR - DAL ,9.80,R. Penny RB - SEA ,0.00,C. Ridley WR - ATL ,0.00,86.26,Sawyer,134.64
Henry,6,M. Ryan QB - ATL ,15.96,D. Freeman RB - ATL ,24.70,J. Mixon RB - CIN ,7.30,J. Edelman WR - NE ,9.20,D. Metcalf WR - SEA ,0.00,Z. Ertz TE - PHI ,2.80,C. Hyde RB - HOU ,9.70,G. Zuerlein K - LA ,9.00,Rams DEF ,9.00,E. Sanders WR - SF ,6.10,R. Cobb WR - DAL ,7.30,M. Jones WR - DET ,0.00,C. Wentz QB - PHI ,18.96,A. Hooper TE - ATL ,8.20,B. Hill RB - ATL ,6.60,87.66,Ari,112.70
Will,3,A. Rodgers QB - GB ,8.34,A. Kamara RB - NO ,23.00,N. Chubb RB - CLE ,4.50,T. Hilton WR - IND ,2.60,M. Brown WR - BAL ,0.60,J. Cook TE - NO ,20.40,M. Gordon RB - LAC ,16.70,H. Butker K - KC ,10.00,Ravens DEF ,4.00,T. Brady QB - NE ,17.24,M. Evans WR - TB ,0.00,T. Williams WR - LV ,8.20,E. Engram TE - NYG ,0.00,A. Ekeler RB - LAC ,6.90,C. Boswell K - PIT ,4.00,90.14,Ben,70.06
